Challenge file is read: /apc/dataset/test/recsys_01/test.json

category      instances    precision    recall      ndcg    extender    precision    recall      ndcg    extender
----------  -----------  -----------  --------  --------  ----------  -----------  --------  --------  ----------
2                  1000    0.0492402  0.279182  0.157882     7.86       0.020764   0.279182  0.132701    10.191
3                  1000    0.0798808  0.361072  0.211681     6.249      0.0292576  0.361072  0.169095     8.377
4                  1000    0.096528   0.343075  0.236319     3.462      0.0383254  0.343075  0.193848     5.019
5                  1000    0.0906807  0.356543  0.235419     4.044      0.0391675  0.356543  0.19612      4.915
6                  1000    0.0967242  0.359145  0.241456     4.392      0.0391354  0.359145  0.197957     5.429
7                  1000    0.112569   0.285178  0.226159     2.559      0.0700559  0.285178  0.200854     3.106
8                  1000    0.189119   0.401636  0.337644     0.703      0.101252   0.401636  0.285534     1.315
9                  1000    0.0863581  0.274783  0.198862     5.104      0.0484251  0.274783  0.1759       5.262
10                 1000    0.176641   0.434459  0.344362     0.665      0.0771745  0.434459  0.280046     1.775
mean               9000    0.108638   0.343897  0.243309     3.89311    0.0515063  0.343897  0.203562     5.04322
